Text,Romanization,Description,Language,WordType,Example,en-US
驚く,odoroku,おどろく,ja-JP,Verb,,to be surprised
泣く,naku,なく,ja-JP,Verb,,to cry
怒る,okoru,おこる,ja-JP,Verb,,to get angry
笑う,warau,わらう,ja-JP,Verb,,to laugh
怖がる,kowagaru,こわがる,ja-JP,Verb,,to fear
惚れる,horeru,ほれる,ja-JP,Verb,,to fall in love
慌てる,awateru,あわてる,ja-JP,Verb,,"to panic, to be flustered"
慰める,nagusameru,なぐさめる,ja-JP,Verb,,"to comfort, to console"
思う,omou,おもう,ja-JP,Verb,,to think
考える,kangaeru,かんがえる,ja-JP,Verb,,to consider
褒める,homeru,ほめる,ja-JP,Verb,,to praise
支える,sasaeru,ささえる,ja-JP,Verb,,to support
忘れる,wasureru,わすれる,ja-JP,Verb,,to forget
覚える,oboeru,おぼえる,ja-JP,Verb,,"to remember, to learn"
疲れる,tsukareru,つかれる,ja-JP,Verb,,to get tired
信じる,shinjiru,しんじる,ja-JP,Verb,,to believe
要る,iru,いれる,ja-JP,Verb,,to need
間違える,machigaeru,まちがえる,ja-JP,Verb,,to make a mistake
知る,shiru,しる,ja-JP,Verb,,to know
苦しむ,kurushimu,くるしむ,ja-JP,Verb,,to suffer
痛む,itamu,いたむ,ja-JP,Verb,,"to become hurt, to damaged"
可愛がる,kawaigaru,かわいがる,ja-JP,Verb,,"to love, to be affectionate"
